ID,Recency,Frequency,Monetary,RFM_Segment
44345,3095,12,2400.0,Regular
47653,5348,6,2400.0,Regular
70832,1263,6,2400.0,Champion
62333,1910,12,2400.0,Champion
12978,8446,3,2400.0,Regular
68073,1990,12,2400.0,Champion
24393,2367,12,2400.0,Champion
62878,3269,12,2400.0,Regular
60369,2630,12,2400.0,Regular
64982,2904,12,2400.0,Regular
22781,7349,5,2400.0,Regular
36790,4641,16,2400.0,Regular
40757,6256,24,2395.0,Regular
20616,1524,12,2390.0,Champion
18986,999,16,2365.0,Champion
15400,3056,14,2350.0,Regular
15052,2288,15,2350.0,Champion
41599,3634,6,2350.0,Regular
15455,4066,15,2350.0,Regular
15805,3660,16,2340.0,Regular
58351,795,12,2340.0,Champion
15106,3352,5,2325.0,Regular
15038,6630,9,2320.0,Regular
15994,6619,7,2300.0,Regular
15387,1524,9,2300.0,Champion
60962,3696,13,2300.0,Regular
20201,5522,17,2290.0,Regular
49437,3319,12,2280.0,Regular
16746,5410,7,2275.0,Regular
25314,3627,11,2270.0,Regular
18516,4795,7,2250.0,Regular
14141,4068,13,2250.0,Regular
55378,789,10,2250.0,Champion
64500,1517,7,2250.0,Champion
16692,2975,6,2250.0,Regular
18360,4795,14,2250.0,Regular
18612,8736,2,2250.0,Regular
27486,5390,2,2250.0,Regular
15474,8083,5,2200.0,Regular
18600,3016,11,2200.0,Regular
19511,3091,11,2200.0,Regular
65207,3091,5,2200.0,Regular
22014,2918,11,2200.0,Regular
58332,2976,6,2200.0,Regular
72504,1469,8,2200.0,Champion
72541,1107,11,2200.0,Champion
61520,2632,11,2200.0,Regular
18997,4795,12,2200.0,Regular
57316,2535,11,2200.0,Regular
22408,3009,11,2200.0,Regular
16447,3604,2,2200.0,Regular
18949,3940,3,2200.0,Regular
30671,782,2,2175.0,High Potential
42511,2269,15,2170.0,Champion
21975,1517,6,2150.0,Champion
57492,3623,11,2150.0,Regular
40694,8086,5,2150.0,Regular
12572,1517,8,2140.0,Champion
12091,3728,20,2140.0,Regular
66897,888,1,2121.0,High Potential
68690,1365,18,2110.0,Champion
18186,7722,5,2100.0,Regular
12588,8617,6,2100.0,Regular
57471,999,3,2100.0,Loyal
18426,8674,2,2100.0,Regular
70703,897,9,2100.0,Champion
72038,1173,9,2100.0,Champion
35986,6124,11,2100.0,Regular
49774,3766,7,2100.0,Regular
13283,1079,20,2070.0,Champion
35985,7334,6,2060.0,Regular
18696,3346,19,2059.0,Regular
16036,4045,18,2051.0,Regular
18104,1532,13,2050.0,Champion
65018,1517,10,2050.0,Champion
17727,3352,9,2050.0,Regular
21096,1517,11,2050.0,Champion
12781,2287,20,2050.0,Champion
16369,1173,19,2045.0,Champion
24414,2126,3,2006.4,Loyal
20788,6991,2,2000.0,Regular
54551,3420,6,2000.0,Regular
62745,3248,10,2000.0,Regular
12582,9178,1,2000.0,Regular
72548,1517,1,2000.0,High Potential
52498,2888,10,2000.0,Regular
52974,1898,8,2000.0,Champion
43451,6986,3,2000.0,Regular
53192,2272,10,2000.0,Champion
19432,2097,1,2000.0,High Potential
67456,1799,10,2000.0,Champion
67903,1457,10,2000.0,Champion
41405,5970,12,2000.0,Regular
18772,8450,4,2000.0,Regular
24234,8811,2,2000.0,Regular
57925,1273,10,2000.0,Champion
57862,1288,6,2000.0,Champion
67122,896,10,2000.0,Champion
36935,3360,11,2000.0,Regular
25076,5208,7,2000.0,Regular
66845,732,10,2000.0,Champion
30609,1517,1,2000.0,High Potential
66255,2540,10,2000.0,Regular
15964,7684,4,2000.0,Regular
81098,796,1,2000.0,High Potential
13803,1517,3,2000.0,Loyal
30485,774,4,2000.0,Champion
21581,1517,2,2000.0,High Potential
65601,2657,10,2000.0,Regular
60841,2352,10,2000.0,Champion
43819,3092,4,2000.0,Regular
43840,3268,10,2000.0,Regular
43994,6983,4,2000.0,Regular
64318,1445,10,2000.0,Champion
64304,1782,8,2000.0,Champion
68465,2538,10,2000.0,Regular
64257,1460,10,2000.0,Champion
26396,1505,10,1980.0,Champion
30981,1517,17,1980.0,Champion
64856,2240,4,1950.0,Champion
18388,6258,7,1950.0,Regular
62061,2990,5,1950.0,Regular
15875,1139,10,1950.0,Champion
19837,3004,10,1925.0,Regular
12027,2974,15,1915.0,Regular
17865,4733,7,1900.0,Regular
21572,1936,10,1900.0,Champion
16617,1145,10,1900.0,Champion
44214,1604,11,1900.0,Champion
71669,774,10,1900.0,Champion
12945,7585,8,1900.0,Regular
70767,1510,8,1900.0,Champion
17734,4065,18,1900.0,Regular
55000,2535,10,1900.0,Regular
20678,7641,7,1900.0,Regular
18277,2974,12,1875.0,Regular
18832,3339,19,1850.0,Regular
15777,5157,4,1850.0,Regular
18488,4053,6,1850.0,Regular
18618,3969,11,1850.0,Regular
21856,3623,9,1850.0,Regular
15857,775,14,1850.0,Champion
57878,5298,1,1800.0,Regular
54753,1537,9,1800.0,Champion
57950,3231,9,1800.0,Regular
64219,2015,9,1800.0,Champion
68490,1876,9,1800.0,Champion
67166,906,9,1800.0,Champion
22453,2749,9,1800.0,Regular
43107,3623,9,1800.0,Regular
67609,2490,9,1800.0,Regular
17447,1873,13,1800.0,Champion
13165,6983,7,1800.0,Regular
66523,3091,7,1800.0,Regular
18244,1118,2,1800.0,High Potential
44221,914,9,1800.0,Champion
65616,2355,9,1800.0,Champion
63694,3623,9,1800.0,Regular
68857,1924,9,1800.0,Champion
63263,2701,9,1800.0,Regular
15972,4436,15,1800.0,Regular
60953,2892,5,1800.0,Regular
15514,4436,17,1800.0,Regular
14519,6619,9,1750.0,Regular
12596,777,3,1750.0,Loyal
18953,7349,6,1750.0,Regular
77750,994,1,1750.0,High Potential
23417,1512,14,1720.0,Champion
17701,3324,3,1700.0,Regular
44038,5034,9,1700.0,Regular
14878,7713,5,1700.0,Regular
15527,2986,14,1700.0,Regular
20451,1517,6,1700.0,Champion
18494,1138,22,1680.0,Champion
53708,1138,10,1660.0,Champion
42398,5522,5,1650.0,Regular
20774,1856,16,1650.0,Champion
40318,4436,7,1650.0,Regular
56291,3343,7,1650.0,Regular
55012,4079,8,1650.0,Regular
24404,999,6,1650.0,Champion
12764,5390,12,1650.0,Regular
21156,2968,5,1650.0,Regular
15495,1869,20,1625.0,Champion
30922,1517,4,1620.0,Champion
72430,1177,8,1600.0,Champion
62146,1630,8,1600.0,Champion
53253,5765,4,1600.0,Regular
56173,1517,8,1600.0,Champion
19495,2204,8,1600.0,Champion
66711,2892,8,1600.0,Regular
66448,2902,8,1600.0,Regular
65038,3102,8,1600.0,Regular
27684,8446,4,1600.0,Regular
20963,2182,8,1600.0,Champion
63667,2293,6,1600.0,Champion
13023,8092,4,1600.0,Regular
70914,2150,8,1600.0,Champion
70463,892,4,1600.0,Champion
67474,2237,8,1600.0,Champion
15299,1905,6,1600.0,Champion
52701,3087,8,1600.0,Regular
31113,1273,6,1600.0,Champion
58676,2986,8,1600.0,Regular
13987,8079,3,1600.0,Regular
22051,3301,8,1600.0,Regular
30298,2157,6,1600.0,Champion
12831,8617,4,1600.0,Regular
47489,1861,6,1600.0,Champion
18194,2931,3,1600.0,Regular
20353,2604,9,1560.0,Regular
16283,4369,15,1550.0,Regular
64367,4669,6,1550.0,Regular
22416,6628,8,1550.0,Regular
15036,4065,9,1550.0,Regular
23296,3693,11,1550.0,Regular
41239,2612,16,1550.0,Regular
16275,2966,10,1550.0,Regular
17767,7963,7,1550.0,Regular
16880,2947,15,1520.0,Regular
21851,3891,12,1520.0,Regular
22110,1702,6,1505.0,Champion
12689,4554,8,1500.0,Regular
41665,7953,4,1500.0,Regular
22178,5178,1,1500.0,Regular
42259,5170,3,1500.0,Regular
15665,8082,3,1500.0,Regular
60574,4792,4,1500.0,Regular
16096,4733,1,1500.0,Regular
34019,1517,1,1500.0,High Potential
21456,4733,1,1500.0,Regular
19704,7349,6,1500.0,Regular
17726,4429,15,1500.0,Regular
40770,8082,4,1500.0,Regular
17569,1517,6,1500.0,Champion
17816,5167,2,1500.0,Regular
17968,4426,8,1500.0,Regular
44177,1517,3,1500.0,Loyal
44165,5129,3,1500.0,Regular
76634,995,2,1500.0,High Potential
18137,4079,9,1500.0,Regular
36053,7993,3,1500.0,Regular
22071,1509,6,1500.0,Champion
27435,4799,10,1494.93,Regular
16908,5478,21,1480.0,Regular
15745,4796,8,1450.0,Regular
18380,5893,8,1450.0,Regular
17323,4843,23,1450.0,Regular
23341,2966,6,1450.0,Regular
15509,3340,7,1450.0,Regular
59147,1517,8,1450.0,Champion
14527,7928,4,1450.0,Regular
19878,5158,6,1450.0,Regular
14720,1161,16,1425.0,Champion
68319,1859,5,1402.0,Champion
12141,4733,3,1400.0,Regular
75053,1261,7,1400.0,Champion
20445,1105,5,1400.0,Champion
75927,777,3,1400.0,Loyal
66277,2199,7,1400.0,Champion
66041,3420,3,1400.0,Regular
65606,2540,7,1400.0,Regular
66829,1930,7,1400.0,Champion
18295,1172,12,1400.0,Champion
64597,3623,7,1400.0,Regular
64963,3274,7,1400.0,Regular
68237,1517,7,1400.0,Champion
48662,3715,7,1400.0,Regular
57854,1475,7,1400.0,Champion
70670,1899,7,1400.0,Champion
56602,4290,7,1400.0,Regular
72224,1630,7,1400.0,Champion
50877,4157,6,1400.0,Regular
55357,3715,7,1400.0,Regular
18998,1811,8,1400.0,Champion
63916,2441,7,1400.0,Regular
67913,994,4,1400.0,Champion
36694,5389,5,1400.0,Regular
30496,1840,7,1400.0,Champion
64272,1534,7,1400.0,Champion
69191,833,7,1400.0,Champion
64286,776,5,1400.0,Champion
14393,7039,9,1400.0,Regular
41444,4061,15,1400.0,Regular
22860,4429,14,1400.0,Regular
22861,7363,3,1400.0,Regular
68659,2386,7,1400.0,Champion
42652,3351,7,1400.0,Regular
42691,3612,7,1400.0,Regular
61345,3268,5,1400.0,Regular
59622,3277,7,1400.0,Regular
48808,2355,7,1400.0,Champion
59111,3276,7,1400.0,Regular
69066,1646,7,1400.0,Champion
47852,3241,7,1400.0,Regular
59991,3351,7,1400.0,Regular
42650,7348,1,1395.0,Regular
36153,7113,6,1375.0,Regular
25978,1530,16,1375.0,Champion
35546,4747,9,1355.5,Regular
78368,827,4,1350.0,Champion
60587,2611,3,1350.0,Regular
16871,7797,5,1350.0,Regular
27582,7225,6,1350.0,Regular
12915,1162,3,1350.0,Loyal
24133,6017,7,1350.0,Regular
22983,4795,14,1348.0,Regular
14080,2601,7,1340.0,Regular
15155,2435,15,1330.0,Regular
12574,2610,14,1330.0,Regular
41882,771,10,1325.0,Champion
14682,776,13,1325.0,Champion
43219,3660,15,1320.0,Regular
22813,6983,6,1300.0,Regular
17897,7722,3,1300.0,Regular
15938,2260,15,1300.0,Champion
16403,4064,10,1300.0,Regular
21446,4684,4,1300.0,Regular
18712,4792,7,1300.0,Regular
18267,6257,10,1280.0,Regular
48745,5759,4,1250.0,Regular
25989,1870,13,1250.0,Champion
16422,5754,5,1250.0,Regular
17106,6619,7,1250.0,Regular
19341,1516,3,1250.0,Loyal
42140,7349,2,1250.0,Regular
16374,5157,9,1250.0,Regular
68849,774,3,1250.0,Loyal
14320,6252,4,1250.0,Regular
57139,1510,9,1250.0,Champion
16079,1870,5,1250.0,Champion
12850,8315,2,1250.0,Regular
20716,6630,8,1200.0,Regular
20722,6423,8,1200.0,Regular
25854,8902,2,1200.0,Regular
75944,1268,6,1200.0,Champion
12020,798,4,1200.0,Champion
19827,6983,7,1200.0,Regular
71822,2367,2,1200.0,High Potential
54569,5382,2,1200.0,Regular
56570,3234,8,1200.0,Regular
71748,2262,6,1200.0,Champion
71282,994,6,1200.0,Champion
49438,2175,6,1200.0,Champion
68864,2563,6,1200.0,Regular
63201,2365,6,1200.0,Champion
42487,3282,6,1200.0,Regular
68430,3085,2,1200.0,Regular
18632,4071,6,1200.0,Regular
65014,2659,6,1200.0,Regular
27453,4652,2,1200.0,Regular
27198,7244,8,1200.0,Regular
66643,3087,2,1200.0,Regular
48122,4079,6,1200.0,Regular
42423,4866,6,1200.0,Regular
40703,7349,4,1200.0,Regular
63922,2856,6,1200.0,Regular
23608,8286,3,1200.0,Regular
68536,1985,6,1200.0,Champion
41119,3969,6,1200.0,Regular
43011,5157,3,1200.0,Regular
44088,3969,6,1200.0,Regular
58440,3623,6,1200.0,Regular
72183,2204,6,1200.0,Champion
54052,3969,6,1200.0,Regular
55085,3969,6,1200.0,Regular
55394,4663,3,1200.0,Regular
72464,1517,2,1200.0,High Potential
56589,1442,6,1200.0,Champion
53216,3270,6,1200.0,Regular
47611,3277,6,1200.0,Regular
15369,795,10,1200.0,Champion
59548,3420,2,1200.0,Regular
71087,1517,2,1200.0,High Potential
58134,3455,6,1200.0,Regular
44208,6017,7,1200.0,Regular
